"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2973","RT @BahmanKalbasi: Roger Federer just did a shot of tequila on #Oscars red carpet. https://t.co/TcYuKMraSN",FALSE,0,NA,2016-03-04 23:18:48,FALSE,NA,"705895296111419392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZadehSean",2692,TRUE,FALSE,NA,NA
"2974","RT @seacretdirectus: Seacret being shown to actors @amandamarkowitz &amp; @noahhuntley thanks to @naomimartinez1 at the #Oscars gifting suite h<U+2026>",FALSE,0,NA,2016-03-04 23:18:42,FALSE,NA,"705895273575354369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZadehSean",5,TRUE,FALSE,NA,NA
"2975","RT @KonbiniFr: ""Oh mon Dieu je te croyais noy<U+00E9> <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>"" #Oscars #Titanic https://t.co/P99g7WQ2QR",FALSE,0,NA,2016-03-04 23:18:39,FALSE,NA,"705895261357342721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ayolalovee",970,TRUE,FALSE,NA,NA
"2976","RT @seacretdirectus: A HUGE thank you to actress @DitadeLeon for hosting Seacret and @naomimartinez1 at the #Oscars gifting suite! https://<U+2026>",FALSE,0,NA,2016-03-04 23:18:38,FALSE,NA,"705895254319357952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZadehSean",5,TRUE,FALSE,NA,NA
"2977","RT @meenrz: In what world is this appropriate or even close to funny? Rly a missed opportunity to promote real diversity #Oscars https://t.<U+2026>",FALSE,0,NA,2016-03-04 23:18:36,FALSE,NA,"705895246404517888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hchungy",1,TRUE,FALSE,NA,NA
"2978","RT @BBCFilm2016: #Oscars Best Visual FX: Mad Max, Star Wars, The Revenant, The Martian &amp; Ex Machina",FALSE,0,NA,2016-03-04 23:18:29,FALSE,NA,"705895217187024896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fenizehomoki",3,TRUE,FALSE,NA,NA
"2979","RT @nowthisnews: VIDEO: @VP Joe Biden &amp; @ladygaga teamed up for the #Oscars' most powerful moment Sunday night
https://t.co/nzhxh5tcBc",FALSE,0,NA,2016-03-04 23:18:25,FALSE,NA,"705895200204451840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Taylloooorr",29,TRUE,FALSE,NA,NA
"2980","RT @EW: Inside the making of @LadyGaga's powerful #Oscars performance: https://t.co/gnWzJiunc3 https://t.co/Q6Fj1iGvoY",FALSE,0,NA,2016-03-04 23:18:25,FALSE,NA,"705895199428325376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","midagechick",107,TRUE,FALSE,NA,NA
"2981","RT @MagconGoals2016: rt if you think cam will win an oscar in his lifetime. in 20 years, we'll look back and see who rt'd this. 

#Oscars h<U+2026>",FALSE,0,NA,2016-03-04 23:18:24,FALSE,NA,"705895194869235713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KhuffashHaneen",604,TRUE,FALSE,NA,NA
"2982","Hi, @kamilah! After seeing you on stage at the #Oscars, we'd love to chat w/ you &amp; get you a demo Revolar device if you'd be interested!",FALSE,1,NA,2016-03-04 23:18:21,FALSE,NA,"705895182323978240",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Revolar",0,FALSE,FALSE,NA,NA
"2983","RT @QuanticoTV: Join @priyankachopra for a night at The #Oscars LIVE TONIGHT at 7e|4p on ABC. https://t.co/Rc4INedm4w",FALSE,0,NA,2016-03-04 23:18:20,FALSE,NA,"705895178490535936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_dearslim_",243,TRUE,FALSE,NA,NA
"2984","RT @TheAcademy: Relive the #Oscars with some of our favorite photos from the night! https://t.co/IKdDtyJYMV",FALSE,0,NA,2016-03-04 23:18:13,FALSE,NA,"705895151114256384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amrarsenal123",89,TRUE,FALSE,NA,NA
"2985","RT @HollywoodMuseum: #JoanCrawford didn't attend the #Oscars for fear of losing for #MildredPierce She accepted it in bed! https://t.co/znz<U+2026>",FALSE,0,NA,2016-03-04 23:18:05,FALSE,NA,"705895115437555712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ahtakaroline",11,TRUE,FALSE,NA,NA
"2986","RT @PriyankaDaily: ""I miss India"" ~ @priyankachopra #Oscars
https://t.co/iSJbaJxft3",FALSE,0,NA,2016-03-04 23:18:04,FALSE,NA,"705895114044903426",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","demedici_",1087,TRUE,FALSE,NA,NA
"2987","<U+0627><U+0644><U+0645><U+062D><U+0642><U+0642> <U+0644><U+0648><U+0646><U+062C><U+064A>
<U+064A><U+0641><U+0648><U+0632> <U+0628><U+062C><U+0627><U+0626><U+0632><U+0629> <U+0627><U+0646><U+0634><U+0628> <U+0634><U+062E><U+0635> <U+0641><U+064A> <U+0627><U+0644><U+0639><U+0627><U+0644><U+0645>
#Oscars https://t.co/nUqpXr2K7C",FALSE,0,NA,2016-03-04 23:17:57,FALSE,NA,"705895084148051969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ADMAN1240",2,FALSE,FALSE,NA,NA
