"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"487","why binay keeps on hitting pnoy's UNDERSPENDING...

everything is OVERPRICED in makati.

https://t.co/Zw0cNagAQO
#PiliPinasDebates2016",FALSE,2,NA,2016-03-04 11:38:22,FALSE,NA,"705719025746079745",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",1,FALSE,FALSE,NA,NA
"488","if Makati serves as <U+201C>benchmark<U+201D> for spending, natl budget must increase by some 40-50%.

https://t.co/Zw0cNagAQO

#PiliPinasDebates2016",FALSE,0,NA,2016-03-04 11:36:19,FALSE,NA,"705718510375153664",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",1,FALSE,FALSE,NA,NA
"489","RT @xpeanutgalleryx: Makati, inequality and free cake
[it appears almost everything is more expensive in Makati]

https://t.co/Zw0cNagAQO

<U+2026>",FALSE,0,NA,2016-03-04 11:32:58,FALSE,NA,"705717667789844480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeyVillarinte",1,TRUE,FALSE,NA,NA
"490","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-04 11:32:36,FALSE,NA,"705717577612275712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhessyrigan",3458,TRUE,FALSE,NA,NA
"491","Makati, inequality and free cake
[it appears almost everything is more expensive in Makati]

https://t.co/Zw0cNagAQO

#PiliPinasDebates2016",FALSE,0,NA,2016-03-04 11:30:15,FALSE,NA,"705716987058491393",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",1,FALSE,FALSE,NA,NA
"492","RT @radikalchick: #MatuwidNaDaan is a fantasy. <U+2014> #Duterte. <U+2014> https://t.co/NBCcSnOXKg #Eleksyon2016 #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 11:27:13,FALSE,NA,"705716222927749120",NA,"<a href=""http://www.phvote.com"" rel=""nofollow"">PHVoteRT</a>","PHVoteRT",1,TRUE,FALSE,NA,NA
"493","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 11:23:43,FALSE,NA,"705715339040960512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aalconcepcion",3385,TRUE,FALSE,NA,NA
"494","#MatuwidNaDaan is a fantasy. <U+2014> #Duterte. <U+2014> https://t.co/NBCcSnOXKg #Eleksyon2016 #PiliPinasDebates2016",FALSE,1,NA,2016-03-04 11:21:15,FALSE,NA,"705714719496151040",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","radikalchick",1,FALSE,FALSE,NA,NA
"495","RT @xypotecka: #PiliPinasDebates2016 that was great closing statement. He led us to his vision that gives hope#MarWithAPlan @winformar2016 <U+2026>",FALSE,0,NA,2016-03-04 11:15:00,FALSE,NA,"705713149308116992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IamSolarQueen",2,TRUE,FALSE,NA,NA
"496","RT @PinoyHugotLines: Kapag nagsasalita si Mar o si Binay parang Ex ko, ang hirap PANIWALAAN.
#PiliPinasDebates2016",FALSE,0,NA,2016-03-04 11:11:41,FALSE,NA,"705712312653492224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JaiDemegillo",267,TRUE,FALSE,NA,NA
"497","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 11:09:12,FALSE,NA,"705711689316962305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mendez_arkisha",3385,TRUE,FALSE,NA,NA
"498","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 11:07:53,FALSE,NA,"705711355265875972",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KNFJoanna",3385,TRUE,FALSE,NA,NA
